id,question_fa,gold_sql,difficulty,category,manual_pass
"VTD-250","کشورهایی را پیدا کن که از ۱۹۹۰ تا آخرین سال هم افسردگی و هم اضطراب‌شان افزایش یافته است.","WITH endpoints AS (SELECT country_name, disorder, MAX(CASE WHEN year = 1990 THEN prevalence_pct END) AS value_1990, MAX(CASE WHEN year = (SELECT MAX(year) FROM country_prevalence_long) THEN prevalence_pct END) AS value_latest FROM country_prevalence_long WHERE disorder IN ('depression','anxiety') AND is_country_like = 1 GROUP BY country_name, disorder), changes AS (SELECT country_name, MAX(CASE WHEN disorder='depression' THEN value_latest - value_1990 END) AS depression_change, MAX(CASE WHEN disorder='anxiety' THEN value_latest - value_1990 END) AS anxiety_change FROM endpoints GROUP BY country_name) SELECT country_name, ROUND(depression_change, 3) AS depression_change, ROUND(anxiety_change, 3) AS anxiety_change, ROUND(depression_change + anxiety_change, 3) AS combined_change FROM changes WHERE depression_change > 0 AND anxiety_change > 0 ORDER BY combined_change DESC LIMIT 30;","complex","dashboard_story",""
"VTD-095","مقایسه شیوع پنج اختلال در ایران در آخرین سال موجود چگونه است؟","SELECT disorder, ROUND(prevalence_pct, 3) AS prevalence_pct FROM country_prevalence_long WHERE country_name = 'Iran' AND year = (SELECT MAX(year) FROM country_prevalence_long) ORDER BY prevalence_pct DESC;","medium","analysis",""
"VTD-159","روند شیوع افسردگی، اضطراب و اختلال دوقطبی در Netherlands را در طول زمان مقایسه کن.","SELECT year, ROUND(MAX(CASE WHEN disorder = 'depression' THEN prevalence_pct END), 3) AS depression_pct, ROUND(MAX(CASE WHEN disorder = 'anxiety' THEN prevalence_pct END), 3) AS anxiety_pct, ROUND(MAX(CASE WHEN disorder = 'bipolar' THEN prevalence_pct END), 3) AS bipolar_pct FROM country_prevalence_long WHERE country_name = 'Netherlands' GROUP BY year ORDER BY year;","hard","time_series",""
"VTD-165","روند شیوع افسردگی، اضطراب و اختلال دوقطبی در Japan را در طول زمان مقایسه کن.","SELECT year, ROUND(MAX(CASE WHEN disorder = 'depression' THEN prevalence_pct END), 3) AS depression_pct, ROUND(MAX(CASE WHEN disorder = 'anxiety' THEN prevalence_pct END), 3) AS anxiety_pct, ROUND(MAX(CASE WHEN disorder = 'bipolar' THEN prevalence_pct END), 3) AS bipolar_pct FROM country_prevalence_long WHERE country_name = 'Japan' GROUP BY year ORDER BY year;","hard","time_series",""
"VTD-247","شکاف درمان در دانشگاه: برای هر ترکیب افسردگی و اضطراب، چند نفر درمان نمی‌جویند؟","WITH grouped AS (SELECT depression_diagnosis, anxiety_diagnosis, COUNT(*) AS total, SUM(treatment_seeking) AS treatment_count FROM university_student_mental_health GROUP BY depression_diagnosis, anxiety_diagnosis) SELECT depression_diagnosis, anxiety_diagnosis, total, treatment_count, total - treatment_count AS untreated_count, ROUND(100.0 * (total - treatment_count) / total, 2) AS untreated_rate_pct FROM grouped ORDER BY untreated_rate_pct DESC;","complex","dashboard_story",""
"VTD-229","در دانشجویان افسردگی، ماتریس ساعات کار/مطالعه و فشار تحصیلی را از نظر نرخ افسردگی بساز.","WITH binned AS (SELECT CASE WHEN work_study_hours IS NULL THEN 'Unknown' WHEN work_study_hours < 4 THEN '<4' WHEN work_study_hours < 6 THEN '4-6' WHEN work_study_hours < 8 THEN '6-8' ELSE '8+' END AS x_bucket, CASE WHEN academic_pressure IS NULL THEN 'Unknown' WHEN academic_pressure < 2 THEN '<2' WHEN academic_pressure < 4 THEN '2-4' ELSE '4+' END AS y_bucket, depression_flag, cgpa_10 FROM student_depression) SELECT x_bucket, y_bucket, COUNT(*) AS total, ROUND(100.0 * SUM(depression_flag) / COUNT(*), 2) AS depression_rate_pct, ROUND(AVG(cgpa_10), 2) AS avg_cgpa_10 FROM binned GROUP BY x_bucket, y_bucket HAVING COUNT(*) >= 20 ORDER BY x_bucket, y_bucket;","complex","risk_matrix",""
"VTD-191","در دیتاست عادت‌ها، در هر diet_quality بهترین و بدترین میانگین عملکرد را با رتبه نشان بده.","SELECT diet_quality, COUNT(*) AS total, ROUND(AVG(exam_score), 2) AS avg_exam_score, ROUND(AVG(mental_health_rating), 2) AS avg_mental_health_rating, RANK() OVER (ORDER BY AVG(exam_score) DESC) AS rank_by_exam FROM student_habits_performance WHERE diet_quality IS NOT NULL GROUP BY diet_quality ORDER BY rank_by_exam;","hard","rank_by_group",""
"VTD-123","میانگین شیوع جهانی eating_disorder به تفکیک سال چیست؟","SELECT year, ROUND(AVG(prevalence_pct), 3) AS avg_eating_disorder_prevalence_pct FROM country_prevalence_long WHERE disorder = 'eating_disorder' AND is_country_like = 1 GROUP BY year ORDER BY year;","medium","time_series",""
"VTD-258","برای Finland، آخرین مقدار هر اختلال، رتبه جهانی و فاصله از میانگین جهانی را بساز.","WITH latest AS (SELECT * FROM country_prevalence_long WHERE is_country_like = 1 AND year = (SELECT MAX(year) FROM country_prevalence_long)), global_avg AS (SELECT disorder, AVG(prevalence_pct) AS avg_prevalence FROM latest GROUP BY disorder), ranked AS (SELECT disorder, country_name, prevalence_pct, RANK() OVER (PARTITION BY disorder ORDER BY prevalence_pct DESC) AS global_rank FROM latest) SELECT r.disorder, ROUND(r.prevalence_pct, 3) AS country_prevalence_pct, r.global_rank, ROUND(g.avg_prevalence, 3) AS global_avg_prevalence_pct, ROUND(r.prevalence_pct - g.avg_prevalence, 3) AS gap_from_global_avg FROM ranked r JOIN global_avg g ON g.disorder = r.disorder WHERE r.country_name = 'Finland' ORDER BY country_prevalence_pct DESC;","complex","dashboard_story",""
"VTD-293","میانگین شیوع جهانی افسردگی چقدره؟","SELECT ROUND(AVG(prevalence_pct),4) AS mean_depression_prevalence_global FROM country_prevalence_long WHERE disorder = 'depression';","easy","simple",""
